status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,A359,888152,A359,VN-A896,VN,HVN,HAN,VVNB,CDG,LFPG,VN18,HVN18,18,11277.6,102.0,39.9393,49.9033,998.228,0.0,0.0,,1762535113
en-route,B789,8880E2,B789,VN-A864,VN,HVN,HAN,VVNB,FRA,EDDF,VN36,HVN36,36,11270.0,100.0,40.5004,46.3322,970.448,0.0,0.0,,1762535113
en-route,A359,888153,A359,VN-A897,VN,HVN,SGN,VVTS,CDG,LFPG,VN10,HVN10,10,11887.2,127.0,37.4123,60.1383,1035.27,0.0,0.0,,1762535116
en-route,A359,88812D,A359,VN-A892,VN,HVN,SYD,YSSY,SGN,VVTS,VN773,HVN773,773,11887.2,137.0,-0.9047,120.346,859.328,0.0,0.0,,1762535108
en-route,A20N,8881F6,A20N,VN-A515,VN,HVN,SGN,VVTS,THD,VVTX,VN1279,HVN1279,1279,9608.82,173.0,12.6011,108.027,877.848,0.0,0.0,,1762535108
,B78X,88818E,B78X,VN-A879,VN,HVN,HAN,VVNB,SGN,VVTS,VN260,HVN260,260,11879.6,339.0,18.4376,106.44,957.484,0.0,0.0,,1762535122
en-route,A321,8880A1,A321,VN-A393,VN,HVN,SGN,VVTS,HPH,VVCI,VN1187,HVN1187,1187,10698.5,181.0,12.8437,108.127,855.624,0.0,0.0,,1762535108
en-route,A359,888124,A359,VN-A891,VN,HVN,MEL,YMML,SGN,VVTS,VN781,HVN781,781,11887.2,150.0,-6.7923,113.969,868.588,0.0,0.0,,1762535084
en-route,A321,88812C,A321,VN-A398,VN,HVN,SGN,VVTS,HUI,VVPB,VN1377,HVN1377,1377,1554.48,244.0,10.9527,106.965,453.74,0.0,0.0,,1762535109
en-route,A321,8880F1,A321,VN-A615,VN,HVN,ICN,RKSI,CXR,VVCR,VN440,HVN440,440,10050.8,37.0,24.3831,120.875,888.96,0.0,0.0,,1762535122
landed,A321,8880AE,A321,VN-A603,VN,HVN,SGN,VVTS,THD,VVTX,VN1269,HVN1269,1269,0.0,174.0,10.8137,106.655,14.816,1.0,0.0,,1762535109
en-route,A321,88808B,A321,VN-A324,VN,HVN,HAN,VVNB,SGN,VVTS,VN224,HVN224,224,861.06,32.0,21.2608,105.622,361.14,0.0,0.0,,1762535111
en-route,A321,888054,A321,VN-A358,VN,HVN,SGN,VVTS,HAN,VVNB,VN267,HVN267,267,289.56,248.0,10.8402,106.704,272.244,0.0,0.0,,1762535108
en-route,A21N,888194,A21N,VN-A508,VN,HVN,HAN,VVNB,SGN,VVTS,VN270,HVN270,270,10668.0,345.0,16.3453,107.666,881.552,0.0,0.0,,1762535122
en-route,A359,888138,A359,VN-A893,VN,HVN,CDG,LFPG,HAN,VVNB,VN19,HVN19,19,3101.34,269.0,21.2943,105.792,607.456,0.0,0.0,,1762535120
en-route,A21N,888198,A21N,VN-A512,VN,HVN,ICN,RKSI,DAD,VVDN,VN430,HVN430,430,8839.2,56.0,17.2801,110.401,870.44,0.0,0.0,,1762535111
en-route,B78X,88818C,B78X,VN-A877,VN,HVN,ICN,RKSI,HAN,VVNB,VN416,HVN416,416,4785.36,30.0,21.5738,106.35,713.02,0.0,0.0,,1762535122
en-route,A359,8880E6,A359,VN-A888,VN,HVN,SYD,YSSY,HAN,VVNB,VN787,HVN787,787,8953.5,154.0,19.3476,106.635,801.916,0.0,0.0,,1762535121
en-route,A21N,88816D,A21N,VN-A622,VN,HVN,HAN,VVNB,SGN,VVTS,VN7206,HVN7206,7206,3482.34,355.0,20.6316,105.665,690.796,0.0,0.0,,1762535122
en-route,B789,88812A,B789,VN-A870,VN,HVN,HAN,VVNB,LHR,EGLL,VN56,HVN56,56,11277.6,115.0,37.1286,61.8455,1029.71,0.0,0.0,,1762535118
unknown,A321,8880C0,A321,VN-A608,VN,HVN,HAN,VVNB,SGN,VVTS,VN262,HVN262,262,15.24,107.0,21.2234,105.799,266.688,0.0,0.0,,1762534254
en-route,A321,8880ED,A321,VN-A613,VN,HVN,HAN,VVNB,DAD,VVDN,VN7192,HVN7192,7192,228.6,107.0,21.236,105.755,268.54,0.0,0.0,,1762535117
en-route,A321,8880C5,A321,VN-A609,VN,HVN,SGN,VVTS,HPH,VVCI,VN7185,HVN7185,7185,9456.42,154.0,17.9661,107.549,875.996,0.0,0.0,,1762535122
en-route,A21N,88816A,A21N,VN-A619,VN,HVN,MNL,RPLL,SGN,VVTS,VN648,HVN648,648,9951.72,82.0,11.0139,108.854,824.14,0.0,0.0,,1762535097
unknown,A21N,888176,A21N,VN-A501,VN,HVN,HAN,VVNB,BKK,VTBS,VN616,HVN616,616,76.2,107.0,21.2274,105.785,259.28,0.0,0.0,,1762535145
en-route,B789,8880F7,B789,VN-A867,VN,HVN,HAN,VVNB,SVO,UUEE,VN62,HVN62,62,11277.6,108.0,46.8227,59.738,924.148,0.0,0.0,,1762535115
en-route,A359,888123,A359,VN-A890,VN,HVN,HAN,VVNB,MXP,LIMC,VN72,HVN72,72,12496.8,118.0,31.8856,70.9461,1044.53,0.0,0.0,,1762535118
en-route,A320,885961,A320,HS-VKA,VJ,VJC,PVG,ZSPD,BKK,VTBS,VZ3524,TVJ3524,3524,9509.76,31.0,27.5971,111.991,913.036,0.0,0.0,,1762535118
en-route,A21N,8881FF,A21N,VN-A500,VJ,VJC,SGN,VVTS,ICN,RKSI,VJ861,VJC861,861,8656.32,244.0,11.7455,108.352,794.508,0.0,0.0,,1762535100
en-route,A321,8881AA,A321,VN-A542,VJ,VJC,AMD,VAAH,SGN,VVTS,VJ1805,VJC1805,1805,6256.02,290.0,22.7739,74.0343,737.096,0.0,0.0,,1762535059
en-route,A21N,88817C,A21N,VN-A607,VJ,VJC,HND,RJTT,SGN,VVTS,VJ820,VJC820,820,0.0,330.0,35.5318,139.789,229.648,0.0,0.0,3632,1762535117
en-route,A320,8880B0,A320,VN-A699,VJ,VJC,COK,VOCI,SGN,VVTS,VJ1811,VJC1811,1811,53.34,267.0,10.1519,76.4209,251.872,0.0,0.0,,1762534918
landed,A333,8881C5,A333,VN-A810,VJ,VJC,DEL,VIDP,SGN,VVTS,VJ895,VJC895,895,0.0,149.0,28.5561,77.082,0.0,1.0,0.0,5603,1762535086
en-route,A333,8881DB,A333,VN-A814,VJ,VJC,SYD,YSSY,SGN,VVTS,VJ85,VJC85,85,11887.2,136.0,-10.4056,128.971,874.144,0.0,0.0,,1762535046
en-route,A21N,88817D,A21N,VN-A536,VJ,VJC,BOM,VABB,HAN,VVNB,VJ907,VJC907,907,9761.22,252.0,19.779,75.1295,844.512,0.0,0.0,,1762535124
en-route,A320,88596F,A320,HS-VKO,VJ,VJC,BKK,VTBS,HGH,ZSHC,VZ3537,TVJ3537,3537,8130.54,183.0,28.6641,119.499,907.48,0.0,0.0,,1762535122
en-route,A321,88803E,A321,VN-A683,VJ,VJC,DAD,VVDN,ICN,RKSI,VJ875,VJC875,875,9144.0,234.0,19.8546,114.009,900.072,0.0,0.0,7132,1762535100
en-route,A320,888096,A320,VN-A668,VJ,VJC,TFU,TFU,SGN,VVTS,VJ3930,VJC3930,3930,10668.0,338.0,21.5749,101.46,903.776,0.0,0.0,,1762535121
en-route,A321,88596D,A321,HS-VKM,VJ,VJC,BKK,VTBS,CNX,VTCC,VZ119,TVJ119,119,396.24,14.0,13.5954,100.736,266.688,0.0,0.0,,1762535108
